ICD,Faelle,Tage,Tage_je_Fall,Jahr,Krankenhaus,Pflicht_alle,freiwillig,male
A51,69,1206,17.48,2014,1,1.0,0,0
A52,178,4156,23.35,2014,1,1.0,0,0
A53,42,520,12.38,2014,1,1.0,0,0
A54,214,2517,11.76,2014,1,1.0,0,0
A55,5,30,6.0,2014,1,1.0,0,0
A56,238,1746,7.34,2014,1,1.0,0,0
A57,10,77,7.7,2014,1,1.0,0,0
A58,14,95,6.79,2014,1,1.0,0,0
A59,114,565,4.96,2014,1,1.0,0,0
A60,2497,17795,7.13,2014,1,1.0,0,0
A63,3105,25683,8.27,2014,1,1.0,0,0
A64,22,202,9.18,2014,1,1.0,0,0
A65,3,13,4.33,2014,1,1.0,0,0
A66,37,743,20.08,2014,1,1.0,0,0
A67,5,15,3.0,2014,1,1.0,0,0
A68,639,11627,18.2,2014,1,1.0,0,0
A69,4431,89490,20.2,2014,1,1.0,0,0
A70,9,87,9.67,2014,1,1.0,0,0
A71,20,102,5.1,2014,1,1.0,0,0
A74,326,4634,14.21,2014,1,1.0,0,0
A75,11,219,19.91,2014,1,1.0,0,0
A77,21,358,17.05,2014,1,1.0,0,0
A78,102,1332,13.06,2014,1,1.0,0,0
A79,25,410,16.4,2014,1,1.0,0,0
A80,54,645,11.94,2014,1,1.0,0,0
A81,177,1682,9.5,2014,1,1.0,0,0
A82,10,258,25.8,2014,1,1.0,0,0
A83,26,632,24.31,2014,1,1.0,0,0
A84,100,2468,24.68,2014,1,1.0,0,0
A85,13,41,3.15,2014,1,1.0,0,0
A86,68,2202,32.38,2014,1,1.0,0,0
A87,312,8965,28.73,2014,1,1.0,0,0
A88,346,3626,10.48,2014,1,1.0,0,0
A89,70,660,9.43,2014,1,1.0,0,0
A90,89,945,10.62,2014,1,1.0,0,0
A91,7,70,10.0,2014,1,1.0,0,0
A92,17,86,5.06,2014,1,1.0,0,0
A93,11,68,6.18,2014,1,1.0,0,0
A94,20,103,5.15,2014,1,1.0,0,0
A95,3,5,1.67,2014,1,1.0,0,0
A96,13,131,10.08,2014,1,1.0,0,0
A98,51,819,16.06,2014,1,1.0,0,0
A99,222,1187,5.35,2014,1,1.0,0,0
B00,15566,108914,7.0,2014,1,1.0,0,0
B01,2907,30041,10.33,2014,1,1.0,0,0
B02,32229,432471,13.42,2014,1,1.0,0,0
B03,12,80,6.67,2014,1,1.0,0,0
B04,67,989,14.76,2014,1,1.0,0,0
B05,248,2587,10.43,2014,1,1.0,0,0
B06,307,2522,8.21,2014,1,1.0,0,0
B07,7673,76461,9.96,2014,1,1.0,0,0
B08,4072,23826,5.85,2014,1,1.0,0,0
B09,1540,9474,6.15,2014,1,1.0,0,0
B15,140,2704,19.31,2014,1,1.0,0,0
B16,242,5154,21.3,2014,1,1.0,0,0
B17,363,10886,29.99,2014,1,1.0,0,0
B18,1661,52182,31.42,2014,1,1.0,0,0
B19,108,1938,17.94,2014,1,1.0,0,0
B20,80,1761,22.01,2014,1,1.0,0,0
B21,16,561,35.06,2014,1,1.0,0,0
B22,19,361,19.0,2014,1,1.0,0,0
B23,99,1416,14.3,2014,1,1.0,0,0
B24,196,4441,22.66,2014,1,1.0,0,0
B25,639,9300,14.55,2014,1,1.0,0,0
B26,931,7847,8.43,2014,1,1.0,0,0
B27,6840,93920,13.73,2014,1,1.0,0,0
B30,2834,20552,7.25,2014,1,1.0,0,0
B33,3868,25134,6.5,2014,1,1.0,0,0
B34,370196,2154987,5.82,2014,1,1.0,0,0
B35,2502,24857,9.93,2014,1,1.0,0,0
B36,1052,9049,8.6,2014,1,1.0,0,0
B37,3128,22830,7.3,2014,1,1.0,0,0
B38,11,172,15.64,2014,1,1.0,0,0
B39,193,1312,6.8,2014,1,1.0,0,0
B40,26,418,16.08,2014,1,1.0,0,0
B41,11,113,10.27,2014,1,1.0,0,0
B42,33,359,10.88,2014,1,1.0,0,0
B43,107,1140,10.65,2014,1,1.0,0,0
B44,85,2667,31.38,2014,1,1.0,0,0
B45,17,263,15.47,2014,1,1.0,0,0
B46,30,213,7.1,2014,1,1.0,0,0
B47,7,34,4.86,2014,1,1.0,0,0
B48,123,1460,11.87,2014,1,1.0,0,0
B49,987,7272,7.37,2014,1,1.0,0,0
B50,87,996,11.45,2014,1,1.0,0,0
B51,52,354,6.81,2014,1,1.0,0,0
B52,30,154,5.13,2014,1,1.0,0,0
